"Nombre","Precio","Supermercado","URL","Fecha","Estado","ProductoSolicitado","Marca","Cantidad","Unidad","Presentacion","PrecioNumerico","EsEquivalente"
"Leche Protein La Serenisima 1L","$ 2.340,00","Carrefour","https://www.carrefour.com.ar/leche?_q=leche#reviews","11/09/2026","OK","leche 1L","Generica","1","L","1L","2340","SI"
"Leche Larga Vida Parcialmente Descremada COTO 1l","$1.698,97","COTO","https://www.coto.com.ar/productos/leche","11/09/2026","OK","leche 1L","Generica","1","L","1L","1698.97","SI"
"Leche Semi Descremada DIA Larga Vida 1 Lt.","$ 1.700","Día %","https://diaonline.supermercadosdia.com.ar/","11/09/2026","OK","leche 1L","Generica","1","L","1L","1700","SI"
"Arroz largo fino Molinos Ala 1 kg.","$ 1.940,00","Carrefour","https://www.carrefour.com.ar/almacen/arroz-y-legumbres/arroz#reviews","11/09/2026","PRESENTACION_NO_ENCONTRADA","arroz 500g","Generica","1","KG","1KG","1940","NO"
"Arroz Doble Carolina Gallo 500g","$1.530,00","COTO","https://www.coto.com.ar/productos/arroz","11/09/2026","OK","arroz 500g","Generica","500","G","500G","1530","SI"
"Arroz Parboil Molinos Ala 1 Kg.","$ 1.488,50","Día %","https://diaonline.supermercadosdia.com.ar/","11/09/2026","PRESENTACION_NO_ENCONTRADA","arroz 500g","Generica","1","KG","1KG","1488.5","NO"
"Fideos tallarin N5 Lucchetti 500 g.","$ 1.749,00","Carrefour","https://www.carrefour.com.ar/Almacen/Pastas-secas?order=#reviews","11/09/2026","OK","fideos 500g","Generica","500","G","500G","1749","SI"
"Fideos Spaghetti N° 7 LUCCHETTI 500g","$1.750,00","COTO","https://www.coto.com.ar/productos/fideos","11/09/2026","OK","fideos 500g","Generica","500","G","500G","1750","SI"
"Fideos Tirabuzon N28 Matarazzo 500 Gr.","$ 1.240","Día %","https://diaonline.supermercadosdia.com.ar/","11/09/2026","OK","fideos 500g","Generica","500","G","500G","1240","SI"
"Yerba mate Playadito suave con palo 1 kg.","$ 5.209,00","Carrefour","https://www.carrefour.com.ar/yerba%20mate?_q=yerba%20mate#reviews","11/09/2026","OK","yerba mate 1kg","Generica","1","KG","1KG","5209","SI"
"Yerba Mate La Merced Con Palo Paquete 1 Kg","$6.195,00","COTO","https://www.coto.com.ar/productos/yerba-mate","11/09/2026","OK","yerba mate 1kg","Generica","1","KG","1KG","6195","SI"
"Yerba Mate Mañanita 4 Flex 1 Kg.","$ 3.790","Día %","https://diaonline.supermercadosdia.com.ar/","11/09/2026","OK","yerba mate 1kg","Generica","1","KG","1KG","3790","SI"
"Aceite de girasol alto omega Carrefour Classic pet 1.5 lts","$ 5.405,00 c/u","Carrefour","https://www.carrefour.com.ar/almacen/aceites-y-vinagres?initialMap=c,c&initialQuery=almacen/aceites-y-vinagres&map=category-1,category-2,category-3,category-3,category-3,category-3&order=&query=/almacen/aceites-y-vinagres/aceites-comunes/aceites-de-oliva/aceites-en-aerosol/aceites-especiales&searchState#reviews","11/09/2026","PRESENTACION_NO_ENCONTRADA","aceite 900ml","Generica","1.5","L","1.5L","5405","NO"
"Aceite Girasol CAÑUELAS Botella 900 Ml","$4.115,00","COTO","https://www.coto.com.ar/productos/aceite","11/09/2026","OK","aceite 900ml","Generica","900","ML","900ML","4115","SI"
"Aceite de Girasol Dia 1,5 Lt.","$ 4.600","Día %","https://diaonline.supermercadosdia.com.ar/","11/09/2026","PRESENTACION_NO_ENCONTRADA","aceite 900ml","Generica","1.5","L","1.5L","4600","NO"
